order_item_order_id,revenue,min,max,item_count
1,299.98,299.98,299.98,1
2,579.98,129.99,250.0,3
4,699.85,49.98,299.95,4
5,1129.86,99.96,299.98,5
7,579.92,79.95,299.98,3
8,729.84,50.0,299.95,4
9,599.96,199.98,199.99,3
10,651.92,21.99,199.99,5
11,919.79,49.98,399.96,5
12,1299.87,100.0,499.95,5
13,127.96,127.96,127.96,1
14,549.94,50.0,399.98,3
15,925.91,50.0,399.98,5
16,419.93,119.98,299.95,2
17,694.84,74.97,239.96,5
18,449.96,119.98,199.99,3
19,699.96,299.98,399.98,2
20,879.86,129.99,299.95,4
21,372.91,69.98,127.96,4
23,299.98,299.98,299.98,1
24,829.97,50.0,250.0,5
25,399.98,399.98,399.98,1
27,749.97,150.0,399.98,3
28,1159.9,59.99,399.96,5
29,1109.85,129.99,399.98,5
30,100.0,100.0,100.0,1
31,499.95,499.95,499.95,1
33,659.89,129.99,199.99,4
34,299.98,299.98,299.98,1
35,129.99,129.99,129.99,1
36,799.96,100.0,399.98,3
37,159.95,59.99,99.96,2
38,359.96,159.96,200.0,2
39,199.99,199.99,199.99,1
41,327.88,127.96,199.92,2
42,739.92,39.99,399.98,3
43,529.96,99.99,299.98,3
44,399.98,399.98,399.98,1
45,499.85,59.99,199.95,4
46,229.95,99.96,129.99,2
48,99.96,49.98,49.98,2
49,549.95,119.98,299.98,3
50,429.97,129.99,299.98,2
51,449.98,50.0,399.98,2
52,399.84,149.94,249.9,2
56,699.89,199.92,299.98,3
57,637.9,119.98,207.96,4
58,799.94,19.98,399.98,5
59,619.95,59.99,299.98,4
61,639.92,119.98,399.96,3
62,1149.94,50.0,399.98,4
63,899.92,99.96,399.98,3
64,659.97,50.0,200.0,5
65,299.98,299.98,299.98,1
66,679.94,119.98,299.98,4
67,150.0,150.0,150.0,1
68,299.98,299.98,299.98,1
69,239.96,239.96,239.96,1
70,629.96,129.99,299.98,3
71,659.92,39.99,499.95,3
72,463.92,63.98,199.99,4
73,1279.65,129.99,399.96,5
74,119.98,119.98,119.98,1
75,779.97,50.0,399.98,4
77,729.89,99.96,299.95,5
81,649.83,119.97,199.95,4
83,199.99,199.99,199.99,1
84,1499.87,199.95,499.95,5
87,119.97,119.97,119.97,1
88,279.93,129.99,149.94,2
91,699.93,299.95,399.98,2
92,199.92,199.92,199.92,1
93,99.96,99.96,99.96,1
94,739.91,49.98,399.98,4
95,199.95,199.95,199.95,1
96,529.93,99.96,299.98,3
97,124.95,124.95,124.95,1
98,229.99,100.0,129.99,2
99,1099.93,199.99,499.95,4
100,549.94,119.98,299.97,3
101,899.94,99.99,299.98,4
103,829.92,129.99,399.98,3
104,549.95,119.98,299.98,3
